BTCUSDT,ETHUSDT,date
53686.13,1658.57,2021-03-26
53643.95,1658.46,2021-03-26
53600.01,1658.66,2021-03-26
53651.86,1659.47,2021-03-26
53492.19,1654.9,2021-03-26
53660.8,1658.55,2021-03-26
53682.52,1658.51,2021-03-26
53638.7,1657.49,2021-03-26
53628.25,1656.77,2021-03-26
53646.5,1658.27,2021-03-26
53665.37,1659.36,2021-03-26
53679.44,1660.01,2021-03-26
53650.0,1657.88,2021-03-26
53619.44,1658.58,2021-03-26
53596.08,1657.62,2021-03-26
53587.14,1657.71,2021-03-26
53683.7,1661.2,2021-03-26
53702.03,1662.65,2021-03-26
53778.55,1664.4,2021-03-26
53876.49,1666.59,2021-03-26
53925.66,1670.72,2021-03-26
54156.19,1671.32,2021-03-26
54178.14,1670.82,2021-03-26
54110.42,1670.4,2021-03-26
53824.95,1661.97,2021-03-26
54087.73,1668.93,2021-03-26
54057.95,1669.75,2021-03-26
54073.43,1666.68,2021-03-26
54035.02,1665.37,2021-03-26
54080.09,1666.23,2021-03-26
53960.0,1663.6,2021-03-26
54083.21,1665.77,2021-03-26
54109.08,1665.91,2021-03-26
54056.78,1666.39,2021-03-26
54121.5,1667.02,2021-03-26
54340.0,1671.53,2021-03-26
54294.47,1670.5,2021-03-26
54360.89,1671.11,2021-03-26
54408.85,1674.34,2021-03-26
54466.48,1677.3,2021-03-26
54526.97,1689.08,2021-03-26
54449.14,1686.0,2021-03-26
54574.41,1689.99,2021-03-26
54636.59,1691.63,2021-03-26
54600.0,1689.88,2021-03-26
54631.88,1688.17,2021-03-26
54637.83,1688.26,2021-03-26
54537.2,1683.08,2021-03-26
54662.88,1686.01,2021-03-26
54556.99,1680.43,2021-03-26
54459.99,1677.94,2021-03-26
54489.07,1680.98,2021-03-26
54423.01,1681.79,2021-03-26
54461.52,1682.52,2021-03-26
54383.14,1681.93,2021-03-26
54439.0,1682.63,2021-03-26
54406.15,1682.6,2021-03-26
54436.93,1683.31,2021-03-26
54506.24,1685.0,2021-03-26
54639.56,1688.74,2021-03-26
54742.21,1692.75,2021-03-26
54729.69,1692.77,2021-03-26
54723.79,1695.96,2021-03-26
54668.77,1693.39,2021-03-26
54785.83,1696.9,2021-03-26
54975.24,1697.03,2021-03-26
55025.59,1698.84,2021-03-26
55275.69,1707.77,2021-03-27
55359.99,1713.12,2021-03-27
55470.78,1716.4,2021-03-27
55504.01,1713.7,2021-03-27
55375.56,1714.59,2021-03-27
55169.01,1710.43,2021-03-27
55239.57,1711.9,2021-03-27
55179.07,1707.75,2021-03-27
54983.84,1704.01,2021-03-27
55012.88,1701.66,2021-03-27
54875.46,1698.83,2021-03-27
54745.38,1694.45,2021-03-27
54837.31,1699.17,2021-03-27
54898.56,1702.44,2021-03-27
54969.99,1705.67,2021-03-27
54775.25,1699.13,2021-03-27
54776.38,1697.01,2021-03-27
54844.31,1698.76,2021-03-27
54785.92,1696.02,2021-03-27
54792.81,1694.1,2021-03-27
54789.05,1694.45,2021-03-27
54620.05,1689.54,2021-03-27
54694.61,1690.98,2021-03-27
54682.64,1691.3,2021-03-27
54711.0,1694.81,2021-03-27
54799.94,1697.9,2021-03-27
54827.81,1696.0,2021-03-27
54880.81,1698.89,2021-03-27
54834.48,1695.82,2021-03-27
54647.03,1691.34,2021-03-27
54657.41,1693.39,2021-03-27
54733.15,1693.17,2021-03-27
54814.74,1696.62,2021-03-27
54731.48,1695.57,2021-03-27
54828.14,1698.21,2021-03-27
54745.0,1695.13,2021-03-27
54703.42,1692.93,2021-03-27
54705.79,1692.15,2021-03-27
54571.82,1689.18,2021-03-27
54668.27,1696.06,2021-03-27
54588.55,1692.66,2021-03-27
54691.85,1696.32,2021-03-27
54716.0,1696.17,2021-03-27
54655.74,1692.38,2021-03-27
54717.65,1693.93,2021-03-27
54667.39,1691.35,2021-03-27
54779.03,1695.0,2021-03-27
54760.97,1693.0,2021-03-27
54669.35,1691.16,2021-03-27
54806.74,1694.95,2021-03-27
54969.56,1695.97,2021-03-27
